method,time,active_ues,decision_tasks,local_ratio,step_reward,new_completed,new_dropped,new_finished_or_dropped,action_0_count,action_0_ratio,action_1_count,action_1_ratio,action_2_count,action_2_ratio,action_3_count,action_3_ratio
CD-MAPPO,1.0,60.6,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,
CD-MAPPO,2.0,61.0,30.4,0.0,555.87119140625,13.4,0.6,14.0,0.0,0.0,7.8,0.2565789473684211,10.4,0.34210526315789475,12.2,0.40131578947368424
CD-MAPPO,3.0,61.2,19.4,0.0,574.23466796875,13.8,0.8,14.6,0.0,0.0,6.4,0.32989690721649484,4.4,0.2268041237113402,8.6,0.44329896907216493
CD-MAPPO,4.0,61.4,20.4,0.18627450980392157,498.2248046875,12.0,1.4,13.4,3.8,0.18627450980392157,0.0,0.0,13.6,0.6666666666666666,3.0,0.14705882352941177
CD-MAPPO,5.0,62.2,17.2,0.13953488372093023,407.4849853515625,12.0,1.0,13.0,2.4,0.13953488372093023,0.4,0.023255813953488372,13.8,0.8023255813953488,0.6,0.03488372093023256
CD-MAPPO,6.0,62.2,18.0,0.6666666666666666,626.5712890625,15.6,0.8,16.4,12.0,0.6666666666666666,5.0,0.2777777777777778,0.2,0.011111111111111112,0.8,0.044444444444444446
CD-MAPPO,7.0,62.8,18.2,0.6813186813186813,537.828076171875,16.4,2.6,19.0,12.4,0.6813186813186813,5.0,0.27472527472527475,0.0,0.0,0.8,0.04395604395604396
CD-MAPPO,8.0,63.0,18.0,0.6111111111111112,519.56240234375,18.0,2.0,20.0,11.0,0.6111111111111112,4.4,0.24444444444444444,0.0,0.0,2.6,0.14444444444444443
CD-MAPPO,9.0,63.8,20.0,0.2,519.2021484375,15.2,0.6,15.8,4.0,0.2,6.8,0.34,2.0,0.1,7.2,0.36
CD-MAPPO,10.0,64.0,18.6,0.08602150537634409,487.67890625,15.8,2.2,18.0,1.6,0.08602150537634409,2.0,0.10752688172043011,2.0,0.10752688172043011,13.0,0.6989247311827957
CD-MAPPO,11.0,64.0,20.6,0.36893203883495146,510.908056640625,18.8,1.6,20.4,7.6,0.36893203883495146,1.0,0.04854368932038835,2.2,0.10679611650485436,9.8,0.47572815533980584
CD-MAPPO,12.0,64.2,18.6,0.45161290322580644,448.730615234375,13.2,1.8,15.0,8.4,0.45161290322580644,1.0,0.053763440860215055,5.4,0.2903225806451613,3.8,0.20430107526881722
CD-MAPPO,13.0,64.8,19.4,0.3402061855670103,575.509130859375,18.8,2.2,21.0,6.6,0.3402061855670103,4.4,0.2268041237113402,8.2,0.422680412371134,0.2,0.010309278350515464
CD-MAPPO,14.0,64.8,20.2,0.1782178217821782,395.841552734375,14.0,3.4,17.4,3.6,0.1782178217821782,8.4,0.4158415841584158,7.2,0.3564356435643564,1.0,0.04950495049504951
CD-MAPPO,15.0,65.2,20.0,0.36,505.798681640625,17.0,2.4,19.4,7.2,0.36,8.0,0.4,1.2,0.06,3.6,0.18
CD-MAPPO,16.0,65.4,18.2,0.6263736263736264,483.935498046875,14.4,2.8,17.2,11.4,0.6263736263736264,1.8,0.0989010989010989,2.8,0.15384615384615385,2.2,0.12087912087912088
CD-MAPPO,17.0,65.6,17.0,0.47058823529411764,557.51796875,18.8,2.8,21.6,8.0,0.47058823529411764,1.0,0.058823529411764705,3.6,0.21176470588235294,4.4,0.25882352941176473
CD-MAPPO,18.0,66.0,20.8,0.4807692307692308,613.90849609375,20.4,2.4,22.8,10.0,0.4807692307692308,2.4,0.11538461538461539,2.8,0.1346153846153846,5.6,0.2692307692307692
CD-MAPPO,19.0,66.6,18.6,0.43010752688172044,501.78466796875,14.0,2.8,16.8,8.0,0.43010752688172044,1.4,0.07526881720430108,4.0,0.21505376344086022,5.2,0.27956989247311825
CD-MAPPO,20.0,67.2,20.4,0.38235294117647056,562.235400390625,19.0,2.2,21.2,7.8,0.38235294117647056,0.8,0.0392156862745098,6.6,0.3235294117647059,5.2,0.2549019607843137
CD-MAPPO,21.0,67.4,18.8,0.4574468085106383,476.13916015625,15.4,1.4,16.8,8.6,0.4574468085106383,3.0,0.1595744680851064,4.0,0.2127659574468085,3.2,0.1702127659574468
CD-MAPPO,22.0,68.2,24.8,0.4032258064516129,537.54912109375,14.4,2.8,17.2,10.0,0.4032258064516129,4.4,0.1774193548387097,8.2,0.33064516129032256,2.2,0.08870967741935484
